profesor,codigo,materias,horarios
Juan Perez,JP,Matematicas|Fisica|Calculo,9|10|11|12|13|15|16|17
Simon Smith,SS,Matematicas|Calculo,9|10|11|12|13|15|16|17
Joe Pelaez,JZ,Lenguaje|Teologia,9|10|11|12|13|15|16|17
Pedro Bracamonte,PB,Biologia|Quimica,15|16|17|18|19|20|21|22
Zacarias Espejo,ZE,Computacion,9|10|11|12|13|15|16|17
Ricardo Bedoya,RB,Teologia,15|16|17|18|19|20|21|22
Carla Fuentes,CF,Economia|Estadistica,9|10|11|12|13|15|16|17
Nelly Porras,NP,Quimica|Biologia,15|16|17|18|19|20|21|22
Susana Torres,ST,Computacion|Estadistica,9|10|11|12|13|15|16|17
Diego Rodriguez,DR,Economia,15|16|17|18|19|20|21|22
Ernesto Masonni,EM,Fisica,15|16|17|18|19|20|21|22
